iter	Passed	Remaining
0	53	84549
1	106	84390
2	163	86087
3	207	82069
4	273	86286
5	329	86592
6	397	89582
7	450	88783
8	504	88376
9	561	88418
10	611	87485
11	668	87612
12	715	86529
13	754	84698
14	813	85190
15	880	86370
16	931	85919
17	997	86829
18	1064	87710
19	1130	88459
20	1189	88572
21	1273	90500
22	1336	90736
23	1391	90520
24	1461	91203
25	1504	90219
26	1553	89669
27	1596	88797
28	1657	88921
29	1709	88611
30	1763	88398
31	1829	88804
32	1900	89386
33	1959	89367
34	2018	89379
35	2066	88912
36	2134	89319
37	2197	89455
38	2257	89473
39	2333	90136
40	2388	89954
41	2442	89731
42	2512	90094
43	2567	89909
44	2622	89751
45	2681	89705
46	2739	89651
47	2800	89660
48	2864	89783
49	2921	89694
50	2974	89456
51	3026	89218
52	3087	89247
53	3151	89343
54	3217	89499
55	3268	89234
56	3314	88859
57	3372	88796
58	3434	88835
59	3493	88786
60	3552	88762
61	3617	88867
62	3681	88930
63	3733	88732
64	3774	88266
65	3813	87777
66	3867	87622
67	3926	87601
68	3990	87682
69	4046	87582
70	4089	87212
71	4142	87058
72	4224	87490
73	4270	87197
74	4327	87133
75	4391	87194
76	4444	87041
77	4494	86836
78	4544	86625
79	4580	86173
80	4629	85963
81	4671	85625
82	4719	85411
83	4755	84984
84	4813	84938
85	4867	84839
86	4911	84572
87	4942	84085
88	4994	83945
89	5031	83580
90	5073	83295
91	5105	82852
92	5151	82643
93	5201	82497
94	5252	82376
95	5299	82189
96	5346	82010
97	5387	81748
98	5424	81420
99	5467	81188
100	5511	80985
101	5564	80904
102	5612	80755
103	5660	80611
104	5701	80369
105	5736	80034
106	5777	79810
107	5816	79546
108	5847	79185
109	5886	78929
110	5925	78685
111	5968	78502
112	6007	78251
113	6051	78086
114	6090	77855
115	6137	77720
116	6179	77539
117	6233	77490
118	6266	77197
119	6305	76975
120	6345	76778
121	6379	76501
122	6410	76198
123	6458	76091
124	6492	75833
125	6531	75631
126	6562	75337
127	6600	75127
128	6641	74966
129	6677	74733
130	6714	74522
131	6762	74439
132	6799	74226
133	6843	74108
134	6880	73904
135	6917	73696
136	6947	73427
