feature,importance
TPSA,22.839247839927438
BertzCT,15.262659886514543
RingCount,8.51665868257862
HBD_HBA_ratio,4.5764872761027195
MolWt,3.4900173951775213
HBD,3.0185282184594624
RingDensity,3.001659896656555
HBD_per_heavy,2.5487336681528263
HallKierAlpha,2.21669219729304
NumHeteroatoms,1.743646914113723
FracCSP3,1.6270616505389122
MaxPartialCharge,1.5213878649679191
Chi2v,1.2734054722186654
NumN,1.2493719893373871
FP_80,1.1259807559081454
MinPartialCharge,1.1055303017913314
FP_695,1.040939985836816
Kappa3,0.9895010643047886
HetFrac,0.9495491195784874
RotB,0.926674674249817
FP_314,0.9085493366627263
SlogP_VSA2,0.8594243885622825
source,0.839920165390014
TPSA_per_MW,0.8152716038624487
AromaticRingFrac,0.7286270788273983
Heavy_per_ASA,0.7191167401719104
MW_per_ASA,0.6865052876813308
LogP,0.6686736560565016
Chi2n,0.5927615869302221
NumAromaticCarbocycles,0.5808033180583695
HBA_per_heavy,0.5781162656954031
SlogP_VSA1,0.5613057596440004
FP_1380,0.5563649665671457
FP_456,0.4913346159902688
NumAromaticRings,0.3857516511329117
FP_1088,0.33617441110431723
AromaticFrac,0.32434697760002285
NumAromaticHeterocycles,0.28148738057026357
NumAliphaticRings,0.25763630227879103
NumO,0.22558641087333348
HBA,0.2204071743523771
FP_1138,0.2121589382003064
FP_875,0.20193747891369193
FP_294,0.18215346397945462
NumHalogen,0.17610709230111837
FP_389,0.1749297759642466
NumSaturatedRings,0.1658903313547726
FP_147,0.1594594515674031
FP_1057,0.1543254877178293
FP_378,0.1523931793091622
FP_1911,0.15133330790152197
FP_1171,0.14229984732113157
FP_1816,0.13657356301256526
FP_1,0.12840961890059818
FP_1928,0.1267305040476206
FP_283,0.12072530406870478
FP_1917,0.12019136998783107
FP_1750,0.11916359512993839
FP_1855,0.11810764611245703
FP_1114,0.10709280264225927
FP_140,0.10025881991678952
FP_97,0.09833892851931769
FP_650,0.09797464701783223
FP_1274,0.0959251095074632
FP_656,0.09381797044833005
NumS,0.09353164453833472
FP_1697,0.09114714277919037
FP_1602,0.0901318898270452
FP_1607,0.08366430706652851
FP_1199,0.07914136173317614
FP_1152,0.07039456330678014
FP_896,0.0690300237999002
FP_1444,0.067204673548568
FP_1384,0.06639051995923831
FP_1457,0.06628020139757898
FP_807,0.06576091316898026
FP_1385,0.06406142279508818
FP_1039,0.06392801909683085
FP_1991,0.06177286232815141
FP_222,0.06144895249915488
FP_694,0.05989288995779517
FP_1357,0.05802148233441525
FP_926,0.05737184188922064
FP_1754,0.05564775545757567
FP_1019,0.05371922413601445
FP_354,0.05292499413310157
FP_1028,0.05267967943626299
FP_716,0.052399524765226586
FP_1097,0.05233779002218941
FP_227,0.05071008098574821
FP_252,0.05016337917684136
FP_1366,0.05002376854404236
FP_1873,0.04923311610189183
FP_1722,0.04919232777084199
FP_835,0.04908331588228723
FP_1066,0.048937273964385575
FP_1136,0.04844427431151641
FP_473,0.047436549567627564
FP_1077,0.0452619544365853
FP_1758,0.04500885341580004
FP_114,0.044097729585745274
FP_1963,0.04399435389879816
FP_591,0.043856870195549714
FP_31,0.04357891265438425
FP_841,0.04300552757650133
FP_1143,0.04228953138420077
FP_325,0.04170647380454557
FP_13,0.04164261605115784
flag,0.041138808300609175
FP_1060,0.04056658981102723
FP_1452,0.04053614780749663
FP_1417,0.0397772956105879
FP_1386,0.03786207546951923
FP_1325,0.03779349244873003
FP_245,0.03778985775799404
FP_1243,0.037291314218366185
FP_753,0.0368735844486042
FP_366,0.03674960450538616
FP_1866,0.0366393373290951
FP_794,0.03620618681244131
FP_1564,0.03605135000614836
FP_2033,0.03599958808812459
FP_739,0.03577378117091049
FP_1573,0.034576269619459435
FP_562,0.03419720010701871
FP_322,0.03408108631670325
FP_2004,0.03319247979528477
FP_271,0.03276322134423298
FP_145,0.031839530065014256
FP_725,0.03153507383319353
FP_519,0.03132663799608194
FP_1844,0.031127924033293383
FP_1708,0.03093921628794979
FP_1453,0.030416076766789108
FP_1921,0.02997455782379501
FP_392,0.029927461870417203
FP_715,0.028916689115598266
FP_838,0.02886191159484069
FP_890,0.02876377387581338
FP_910,0.02868117500577584
FP_935,0.028546454695478566
FP_1087,0.028457576298660622
FP_1017,0.027789696111595066
FP_674,0.02744301621664564
FP_881,0.027210182131407114
FP_1683,0.027039870017847766
FP_961,0.02643002468757517
FP_728,0.026294541483813612
FP_1951,0.02550808903972145
FP_675,0.025169844655412537
FP_1160,0.025157619145351712
FP_1013,0.02499364428779956
FP_699,0.024834329199845216
FP_350,0.024725238680636814
FP_1313,0.024546727151944253
FP_1447,0.02449677174821005
FP_745,0.02414876668093986
FP_1645,0.023598943087706003
FP_1738,0.023281890531669007
FP_1292,0.023196051595304735
FP_984,0.023189251447404025
FP_310,0.023068817993796946
FP_2,0.022484978133980905
FP_25,0.022475840213081265
FP_1775,0.022328901992190647
